preprocessing,k,seed,n,n_selected,prevalence,roc_auc,average_precision,ap_lift,log_loss,brier,selected_occupied_clusters,eligible_mass_in_occupied_clusters,total_variation,jensen_shannon_nats
clip10,64,13,95426,3775,0.03955944920671515,0.7785441909240935,0.21430960502398516,5.417406190468559,0.140192378717187,0.03410313039589659,62,0.9954100559595918,0.4078888020161387,0.1286575612350893
clip10,64,42,95426,3775,0.03955944920671515,0.7785763702950026,0.20917540930577078,5.287621883023174,0.14041037183963345,0.03399608052052906,62,0.9946660239347767,0.40576662364360416,0.12724242344303235
clip10,64,2026,95426,3775,0.03955944920671515,0.7741177881744172,0.20736191887016134,5.241779727179872,0.14068124443964553,0.034101384642431475,62,0.9964265504160291,0.38596046199523837,0.12440905321053808
clip10,64,31415,95426,3775,0.03955944920671515,0.7921341287395947,0.19581742481316114,4.949953266283633,0.13970921301584774,0.03441083092212642,62,0.9963951124431497,0.42467602995448916,0.13737670030628973
clip10,64,65537,95426,3775,0.03955944920671515,0.7910638203475739,0.22181979412440944,5.607251834202887,0.13840877683088854,0.033755165096233365,64,1.0,0.4171025126366077,0.13623149168165333
clip10,128,13,95426,3775,0.03955944920671515,0.8062323277743579,0.25339151757506034,6.405334822812638,0.13460809997268824,0.03302294881101848,124,0.9893634858424328,0.4532837497048786,0.1572151065169637
clip10,128,42,95426,3775,0.03955944920671515,0.8204041822632517,0.26144625140500405,6.60894569180766,0.132162595262112,0.03276130708625525,119,0.97163246913839,0.47627068469406547,0.17174506753506127
clip10,128,2026,95426,3775,0.03955944920671515,0.8144590265071914,0.2542070045243769,6.425949036753163,0.13368145379610719,0.033033022448479735,122,0.9807075639762748,0.46466876243899263,0.16631603508404247
clip10,128,31415,95426,3775,0.03955944920671515,0.8152777716157773,0.2587688608248749,6.541265513397222,0.13280653877074033,0.03276128984019461,123,0.9899084107056777,0.4632898971124674,0.1672623266577649
clip10,128,65537,95426,3775,0.03955944920671515,0.8194896563056183,0.27310476907581527,6.903654488431457,0.13099708658754783,0.03230379363716922,120,0.962368746463228,0.4749893478709552,0.17226944974115826
clip10,256,13,95426,3775,0.03955944920671515,0.845569635345022,0.32045072909965333,8.100485105977091,0.12367390624715921,0.030891972971097567,233,0.9491228805566617,0.532203424365581,0.21175990239013234
clip10,256,42,95426,3775,0.03955944920671515,0.8460573926385444,0.30918865600321843,7.815797798082947,0.12398144828613396,0.031167012299876846,235,0.9565212835076394,0.5367378737909047,0.21206820318487818
clip10,256,2026,95426,3775,0.03955944920671515,0.8392922330398045,0.31725886327635666,8.019799811128374,0.12477294130524619,0.030920672514016243,231,0.9310670047995305,0.5165393357052231,0.20473100319668303
clip10,256,31415,95426,3775,0.03955944920671515,0.8383462604072273,0.3173397268610605,8.021843914024783,0.12441183834670748,0.030858836968971726,239,0.9697566700899126,0.5212858117027819,0.20505152392440112
clip10,256,65537,95426,3775,0.03955944920671515,0.8332628577122501,0.31768436287264157,8.030555764631707,0.12584512307806797,0.030952554841496314,232,0.9718630142728397,0.5049084738592214,0.19783144584702816
rank_gaussian,128,13,95426,3775,0.03955944920671515,0.8409528602636795,0.3116912461153164,7.879059298490115,0.12438983397105632,0.030957488905310995,122,0.9719468488671851,0.515908491486694,0.19690857962583314
rank_gaussian,128,42,95426,3775,0.03955944920671515,0.836739150337145,0.29709665706963306,7.510131284113061,0.12650857595666393,0.031557716267104303,125,0.9910716157022195,0.5179688071461497,0.19206736424108106
rank_gaussian,128,2026,95426,3775,0.03955944920671515,0.8241980718534846,0.3002383378756472,7.589547981489142,0.12806077309765349,0.03144749285142209,120,0.9773332215538743,0.48191201448284254,0.17976924045203185
rank_gaussian,128,31415,95426,3775,0.03955944920671515,0.8255528642667719,0.3053491237284458,7.718740524744549,0.12608673147528865,0.030864216371918756,126,0.9899084107056777,0.4844557503938769,0.18324171254163604
rank_gaussian,128,65537,95426,3775,0.03955944920671515,0.8256862510613794,0.2989814491133658,7.557775831282662,0.12760777257342196,0.031356116422498616,123,0.980906671137845,0.4781636309706644,0.18035648288634765
