cluster_id,n_compounds,n_selected,n_nonselected,selected_fraction,jeffreys_probability,jeffreys_working_low,jeffreys_working_high,overall_selected_fraction,selection_lift,log2_selection_lift,conditional_expected_selected,conditional_lift,conditional_standardized_residual,conditional_permutation_p,conditional_bh_q,cluster_distance_median,cluster_distance_p90,n_wells_median,n_sources_median,n_plates_median
0,133,67,66,0.5037593984962406,0.503731343283582,0.41947216037700435,0.5878849878736825,0.032621563933944574,15.442527510830056,3.948836995739135,37.91138195989335,1.7672792849092036,5.850578223842718,0.0004997501249375312,0.0011845928887408148,25.050569534301758,34.56544570922851,8.0,1.0,8.0
1,1103,151,952,0.13689936536718042,0.13722826086956522,0.11757372003400335,0.15812743361897258,0.032621563933944574,4.196591115140526,2.0692179045162487,108.03637194789218,1.3976774421194922,5.218318794940324,0.0004997501249375312,0.0011845928887408148,6.0199737548828125,9.184980392456056,4.0,3.0,4.0
2,81,49,32,0.6049382716049383,0.6036585365853658,0.49633001137626503,0.7061957356385822,0.032621563933944574,18.544122312157633,4.212890082013136,14.066697480709795,3.4834046916268435,10.973880325729377,0.0004997501249375312,0.0011845928887408148,18.871726989746094,29.39883041381836,8.0,4.0,8.0
3,108,35,73,0.32407407407407407,0.3256880733944954,0.24135289901350193,0.41608250841746364,0.032621563933944574,9.934351238655875,3.31242575556405,9.668162811562423,3.620129354683863,9.750269520375497,0.0004997501249375312,0.0011845928887408148,25.66094398498535,34.23736114501953,4.5,3.0,4.5
4,1105,35,1070,0.03167420814479638,0.03209764918625678,0.022539550958569337,0.04325566142013635,0.032621563933944574,0.9709592160858229,-0.0425173965512755,23.662565715929556,1.479129542424815,2.6341581050891674,0.010494752623688156,0.018153085619352485,5.525500297546387,7.651388931274414,4.0,4.0,4.0
5,1233,0,1233,0.0,0.0004051863857374392,3.9816294404148963e-07,0.002034775161951829,0.032621563933944574,0.0,-39.86313713864835,12.73301117507565,0.0,-3.804714400544925,0.0004997501249375312,0.0011845928887408148,5.509573936462402,7.580805683135987,4.0,4.0,4.0
6,1758,96,1662,0.05460750853242321,0.05486071631608869,0.04471091830238736,0.06596870459761328,0.032621563933944574,1.6739696675180256,0.7432733863603044,69.43501295810549,1.382587773950915,3.7746378852902747,0.0004997501249375312,0.0011845928887408148,4.662428855895996,6.380211400985718,5.0,4.0,5.0
7,1286,14,1272,0.01088646967340591,0.011266511266511266,0.006252484489545759,0.017712235816511906,0.032621563933944574,0.3337200416095908,-1.5832897644877912,32.32353727338437,0.4331209137660743,-3.637473237063274,0.0004997501249375312,0.0011845928887408148,4.7063775062561035,6.394842863082886,4.0,4.0,4.0
8,1666,14,1652,0.008403361344537815,0.008698260347930415,0.004823990351466185,0.013683622154351151,0.032621563933944574,0.2576014246758306,-1.9567875225253915,48.29713941274234,0.28987224026577335,-5.396636605836584,0.0004997501249375312,0.0011845928887408148,4.340456008911133,5.841013431549072,5.0,3.0,5.0
9,1514,22,1492,0.01453104359313078,0.01485148514851485,0.009390711937086812,0.021521762018156396,0.032621563933944574,0.4454428862624336,-1.1666876305658822,35.968035732747325,0.6116541966168578,-2.6031714945140396,0.011494252873563218,0.019107329452157037,4.918335914611816,6.524374866485596,4.0,3.0,4.0
