universe,predictor,n,n_selected,prevalence,roc_auc,average_precision,ap_lift,log_loss,brier,precision_at_selected_count,recall_at_selected_count,retrieved_with_ties
eligible_primary,constant,95426,3775,0.03955944920671515,0.49239440633598475,0.03888706305173615,0.9830031466953574,0.16654980698223001,0.037995128280755054,0.03837591434326301,0.19178807947019869,18866
eligible_primary,count_only,95426,3775,0.03955944920671515,0.9310362221328953,0.5135366526438606,12.981390361640543,0.0940686341340614,0.024896488708650424,0.52465483234714,0.5637086092715232,4056
eligible_primary,cluster_only,95426,3775,0.03955944920671515,0.8194896563056183,0.27310476907581527,6.903654488431457,0.13099708658754783,0.03230379363716922,0.3605172868830826,0.36185430463576157,3789
eligible_primary,count_plus_cluster,95426,3775,0.03955944920671515,0.9556885336911163,0.5733133252859649,14.492449636751918,0.08219802918022441,0.0231218383535617,0.5692715231788079,0.5692715231788079,3775
all_descriptive,constant,115721,3775,0.032621563933944574,0.4919506306434642,0.03201475837715263,0.981398636864233,0.1437476898478311,0.031557876610959476,0.03146458061712299,0.19178807947019869,23010
all_descriptive,count_only,115721,3775,0.032621563933944574,0.9434987517041978,0.5133143886845579,15.735431621977677,0.0776227919816274,0.020516137059302896,0.5243962543124692,0.5637086092715232,4058
all_descriptive,cluster_only,115721,3775,0.032621563933944574,0.816728969253506,0.24475302377412458,7.5027985865339,0.11413633441266384,0.027311321196253357,0.33052853010780964,0.33298013245033115,3803
all_descriptive,count_plus_cluster,115721,3775,0.032621563933944574,0.9636410506816022,0.5728957820813951,17.561873588938045,0.06786075622179381,0.01906708863678342,0.5682119205298013,0.5682119205298013,3775
