family,n,df,t_critical_0.975,validation_pa_mean_nap_mean,validation_pa_mean_nap_sd,validation_pa_mean_nap_se,validation_pa_mean_nap_ci95_low,validation_pa_mean_nap_ci95_high,validation_pc_mean_nap_mean,validation_pc_mean_nap_sd,validation_pc_mean_nap_se,validation_pc_mean_nap_ci95_low,validation_pc_mean_nap_ci95_high
cell_count,5,4,2.7764451051977987,0.25625233345077714,0.013668159025527865,0.006112586541671518,0.23928107246705532,0.27322359443449895,0.024468674899280802,0.010173554275848604,0.004549751786716225,0.011836538821187601,0.037100810977374
cellprofiler,5,4,2.7764451051977987,0.5894731223327238,0.013090818466702363,0.00585439199453121,0.5732187243355984,0.6057275203298491,0.07708855005366619,0.019696089494780022,0.008808359000249523,0.05263262482259842,0.10154447528473395
dinov2,5,4,2.7764451051977987,0.35841551299866203,0.04328961978122481,0.01935970651018765,0.30466435062038555,0.4121666753769385,0.06215351830124012,0.024414968868775887,0.010918706011824805,0.03183833043961536,0.09246870616286487
dinov2_random,5,4,2.7764451051977987,0.0575960424090735,0.025521918359011988,0.011413748873390138,0.02590639521759256,0.08928568960055444,0.02423723061784896,0.008172040812006176,0.0036546477541096775,0.01409030174972902,0.0343841594859689
morphem,5,4,2.7764451051977987,0.5564988601328972,0.021867330937906382,0.00977936769272858,0.5293469825704914,0.583650737695303,0.06995036917185456,0.019387088110331675,0.008670169380095913,0.045878119835251426,0.0940226185084577
openphenom,5,4,2.7764451051977987,0.37972195651830687,0.03341121607149701,0.014941950069360157,0.33823645238612193,0.4212074606504918,0.046114999398057945,0.017423467872617754,0.007792011713391388,0.02448090661676851,0.06774909217934738
subcell,5,4,2.7764451051977987,0.3210780710083587,0.047556521007813976,0.02126792274937377,0.262028850993135,0.38012729102358245,0.044741138810412404,0.01770398327300145,0.007917462014190092,0.022758740155524818,0.06672353746529999
