family,n,df,t_critical_0.975,raw_heldout_minus_development_pa_mean,raw_heldout_minus_development_pa_sd,raw_heldout_minus_development_pa_se,raw_heldout_minus_development_pa_ci95_low,raw_heldout_minus_development_pa_ci95_high,raw_heldout_minus_development_pc_mean,raw_heldout_minus_development_pc_sd,raw_heldout_minus_development_pc_se,raw_heldout_minus_development_pc_ci95_low,raw_heldout_minus_development_pc_ci95_high
cell_count,5,4,2.7764451051977987,-0.0061659478667079656,0.003864693040499196,0.0017283432701453098,-0.010964598079204468,-0.0013672976542114636,-0.013923881896098661,0.0065432977010087805,0.0029262516912947453,-0.022048459080970736,-0.005799304711226586
cellprofiler,5,4,2.7764451051977987,-0.0316040770188865,0.019523068530574412,0.008730981672750262,-0.05584516834776565,-0.007362985690007342,-0.02776774628186196,0.016659956506391727,0.007450559050096362,-0.048453814487489165,-0.007081678076234756
dinov2,5,4,2.7764451051977987,-0.033473293373475176,0.01963882277722224,0.008782748545588028,-0.05785811258305614,-0.00908847416389421,-0.02638367395443698,0.020775458707258346,0.009291067586633912,-0.05217981307740863,-0.0005875348314653313
dinov2_random,5,4,2.7764451051977987,-0.015462578262018037,0.02432581474031088,0.010878835073480303,-0.045667066652036556,0.014741910128000486,-0.01952946525858074,0.008812642269946581,0.003941133435397722,-0.030471805894222128,-0.008587124622939351
morphem,5,4,2.7764451051977987,-0.025949462781569687,0.02276381049468737,0.010180285538608815,-0.054214466734756064,0.002315541171616694,-0.021392169081790917,0.014944793249467804,0.006683514723097996,-0.039948580820253765,-0.002835757343328065
openphenom,5,4,2.7764451051977987,-0.0215776232362219,0.029407581012049648,0.013151470039355014,-0.05809195785314463,0.01493671138070083,-0.015722141862110822,0.012788243963416457,0.0057190765630101064,-0.031600843991731686,0.00015656026751003846
subcell,5,4,2.7764451051977987,-0.023269625259544457,0.025315889706533565,0.01132161005893925,-0.054703454090644504,0.00816420357155559,-0.009664825532034437,0.01537832740472932,0.0068773970914445355,-0.028759541023077193,0.00942988995900832
