family,config,d2e8_PA_mean_nap,mq_PA_mean_nap,delta_PA_mean_nap,d2e8_PC_mean_nap,mq_PC_mean_nap,delta_PC_mean_nap,d2e8_nap_product,mq_nap_product,delta_nap_product
,,,,,,,,,,
DINOv2,robustmad_all__prune0.9__tvn_efaar_e0.05,0.4844743704846483,0.4845304950332204,5.612454857206739e-05,0.0522067834654806,0.0654962706797956,0.013289487214315006,0.02529284855446706,0.03173494045531116,0.006442091900844101
DINOv2,robustmad_all__prune0.9__tvn_efaar_e0.05_c96,0.3945603227446563,0.4073839417633528,0.012823619018696497,0.0412332926221882,0.0443960498406606,0.003162757218472395,0.01626902124483543,0.018086237782810585,0.001817216537975154
DINOv2,robustmad_all__prune0.9__tvn_efaar_e0.1,0.4504942239942748,0.451185473255186,0.0006912492609111864,0.0551479945509211,0.065271488375195,0.010123493824273903,0.024843853010057697,0.029449547372632726,0.0046056943625750295
DINOv2,robustmad_all__prune0.9__tvn_efaar_e0.1_c96,0.3757788829988902,0.3841951928700274,0.008416309871137229,0.0430644122748654,0.0459698480539573,0.0029054357790919,0.016182696741652614,0.017661394639295978,0.0014786978976433635
DINOv2,robustmad_all__prune0.9__tvn_efaar_e0.2,0.4144526004365751,0.4142324961419432,-0.0002201042946319287,0.0549974463424307,0.0698828693370304,0.014885422994599704,0.022793834653991412,0.028947755403039368,0.006153920749047956
DINOv2,robustmad_all__prune0.9__tvn_efaar_e0.2_c96,0.3612413617307715,0.3657292649587116,0.0044879032279401265,0.0469593327096424,0.0500574265322541,0.003098093822611697,0.01696365329399958,0.018307465811366,0.0013438125173664203
DINOv2,robustmad_all__tvn_efaar_e0.05,0.4844743704846483,0.4845304950332204,5.612454857206739e-05,0.0522067834654806,0.0654962706797956,0.013289487214315006,0.02529284855446706,0.03173494045531116,0.006442091900844101
DINOv2,robustmad_all__tvn_efaar_e0.05_c96,0.3945603227446563,0.4073839417633528,0.012823619018696497,0.0412332926221882,0.0443960498406606,0.003162757218472395,0.01626902124483543,0.018086237782810585,0.001817216537975154
DINOv2,robustmad_all__tvn_efaar_e0.1,0.4504942239942748,0.451185473255186,0.0006912492609111864,0.0551479945509211,0.065271488375195,0.010123493824273903,0.024843853010057697,0.029449547372632726,0.0046056943625750295
DINOv2,robustmad_all__tvn_efaar_e0.1_c96,0.3757788829988902,0.3841951928700274,0.008416309871137229,0.0430644122748654,0.0459698480539573,0.0029054357790919,0.016182696741652614,0.017661394639295978,0.0014786978976433635
DINOv2,robustmad_all__tvn_efaar_e0.2,0.4144526004365751,0.4142324961419432,-0.0002201042946319287,0.0549974463424307,0.0698828693370304,0.014885422994599704,0.022793834653991412,0.028947755403039368,0.006153920749047956
DINOv2,robustmad_all__tvn_efaar_e0.2_c96,0.3612413617307715,0.3657292649587116,0.0044879032279401265,0.0469593327096424,0.0500574265322541,0.003098093822611697,0.01696365329399958,0.018307465811366,0.0013438125173664203
DINOv2,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.4619511611136225,0.4572594914976634,-0.0046916696159591265,0.0480884797209315,0.0526175941852993,0.004529114464367802,0.022214529043273194,0.024059894361000367,0.0018453653177271725
DINOv2,robustmad_ctrl__prune0.9__tvn_efaar_e0.05_c96,0.379215843734576,0.3811095527635494,0.0018937090289734004,0.0412306599786056,0.0544547213322918,0.0132240613536862,0.015635319511520338,0.020753214492813442,0.005117894981293104
DINOv2,robustmad_ctrl__prune0.9__tvn_efaar_e0.1,0.4303009039054311,0.422771278541356,-0.007529625364075088,0.050875934715214,0.0532592248357169,0.0023832901205029025,0.021891960694990283,0.022516470577917575,0.0006245098829272926
DINOv2,robustmad_ctrl__prune0.9__tvn_efaar_e0.1_c96,0.3617753579443757,0.3596289571840427,-0.0021464007603330115,0.0461156520458354,0.0535137918566879,0.007398139810852501,0.016683506525720385,0.019245109160384584,0.0025616026346641993
DINOv2,robustmad_ctrl__prune0.9__tvn_efaar_e0.2,0.3941074455476898,0.3901229166863674,-0.0039845288613223895,0.0503081223247851,0.0522130121673814,0.0019048898425962982,0.01982680557972176,0.02036949259571962,0.0005426870159978593
DINOv2,robustmad_ctrl__prune0.9__tvn_efaar_e0.2_c96,0.346954767419545,0.3424300750669904,-0.0045246923525545935,0.0470306907450475,0.0544814038750735,0.007450713130025995,0.016317522369028503,0.01865607121869644,0.002338548849667936
DINOv2,robustmad_ctrl__tvn_efaar_e0.05,0.4619511611136225,0.4572596744755116,-0.00469148663811092,0.0480885112537444,0.052617687158981,0.004529175905236597,0.02221454360989273,0.024059946501969957,0.0018454028920772275
DINOv2,robustmad_ctrl__tvn_efaar_e0.05_c96,0.379215843734576,0.3811095527635494,0.0018937090289734004,0.0412306599786056,0.0544547213322918,0.0132240613536862,0.015635319511520338,0.020753214492813442,0.005117894981293104
DINOv2,robustmad_ctrl__tvn_efaar_e0.1,0.4303022124106049,0.4227708401900762,-0.007531372220528687,0.050877104359107,0.0532532740837096,0.0023761697246025976,0.021892530566768972,0.02251393142724232,0.0006214008604733465
DINOv2,robustmad_ctrl__tvn_efaar_e0.1_c96,0.3617753579443757,0.3596289571840427,-0.0021464007603330115,0.0461156520458354,0.0535146082067974,0.007398956160961999,0.016683506525720385,0.01924540274352316,0.002561896217802777
DINOv2,robustmad_ctrl__tvn_efaar_e0.2,0.3941074455476898,0.3901229166863674,-0.0039845288613223895,0.0503081223247851,0.0522130121673814,0.0019048898425962982,0.01982680557972176,0.02036949259571962,0.0005426870159978593
DINOv2,robustmad_ctrl__tvn_efaar_e0.2_c96,0.346954767419545,0.3424300750669904,-0.0045246923525545935,0.0470306907450475,0.0544814038750735,0.007450713130025995,0.016317522369028503,0.01865607121869644,0.002338548849667936
DINOv2,std_all__prune0.9__tvn_efaar_e0.05,0.4690056774912664,0.4789813797551098,0.009975702263843367,0.0423997541799754,0.0506363532356568,0.008236599055681401,0.01988572543464252,0.024253870338582013,0.004368144903939494
DINOv2,std_all__prune0.9__tvn_efaar_e0.05_c96,0.3962838189309568,0.3984613748907272,0.002177555959770372,0.0513757321524979,0.04603040942312,-0.005345322729377898,0.020359371337765813,0.01834134022551948,-0.0020180311122463337
DINOv2,std_all__prune0.9__tvn_efaar_e0.1,0.4377996950074111,0.4413152048750224,0.0035155098676112884,0.0480761649659011,0.0461379172528369,-0.001938247713064202,0.021047730359197485,0.020361364404942548,-0.0006863659542549368
DINOv2,std_all__prune0.9__tvn_efaar_e0.1_c96,0.3805487633562448,0.3787262156624644,-0.0018225476937804297,0.0474678632022315,0.0475840198952642,0.00011615669303269988,0.018063836640772598,0.018021315780940825,-4.2520859831772506e-05
