family,codec,model,config,PA_mean_nap,PC_mean_nap,nap_product
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.05,0.4663994953244081,0.0538144107131478,0.025099013997792553
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.05_c96,0.395610876288035,0.052748863278911,0.02086802402496773
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.1,0.4324588265913461,0.0542345195123515,0.023454196669056994
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.1_c96,0.371767655462085,0.0510949953341674,0.018995466621229588
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.2,0.3958997209792059,0.0556503495153439,0.022031957845519937
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.2_c96,0.3539910198366937,0.0519510237588727,0.01839019588196365
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.05,0.4663994953244081,0.0538144107131478,0.025099013997792553
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.05_c96,0.395610876288035,0.052748863278911,0.02086802402496773
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.1,0.4324588265913461,0.0542345195123515,0.023454196669056994
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.1_c96,0.371767655462085,0.0510949953341674,0.018995466621229588
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.2,0.3958997209792059,0.0556503495153439,0.022031957845519937
DINOv2,D2-E8,dinov2_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.2_c96,0.3539910198366937,0.0519510237588727,0.01839019588196365
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.05,0.4845304950332204,0.0654962706797956,0.03173494045531116
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.05_c96,0.4073839417633528,0.0443960498406606,0.018086237782810585
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.1,0.451185473255186,0.065271488375195,0.029449547372632726
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.1_c96,0.3841951928700274,0.0459698480539573,0.017661394639295978
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.2,0.4142324961419432,0.0698828693370304,0.028947755403039368
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.2_c96,0.3657292649587116,0.0500574265322541,0.018307465811366
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.05,0.4845304950332204,0.0654962706797956,0.03173494045531116
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.05_c96,0.4073839417633528,0.0443960498406606,0.018086237782810585
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.1,0.451185473255186,0.065271488375195,0.029449547372632726
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.1_c96,0.3841951928700274,0.0459698480539573,0.017661394639295978
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.2,0.4142324961419432,0.0698828693370304,0.028947755403039368
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.2_c96,0.3657292649587116,0.0500574265322541,0.018307465811366
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.4572594914976634,0.0526175941852993,0.024059894361000367
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.05_c96,0.3811095527635494,0.0544547213322918,0.020753214492813442
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.1,0.422771278541356,0.0532592248357169,0.022516470577917575
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.1_c96,0.3596289571840427,0.0535137918566879,0.019245109160384584
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.2,0.3901229166863674,0.0522130121673814,0.02036949259571962
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.2_c96,0.3424300750669904,0.0544814038750735,0.01865607121869644
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__tvn_efaar_e0.05,0.4572596744755116,0.052617687158981,0.024059946501969957
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__tvn_efaar_e0.05_c96,0.3811095527635494,0.0544547213322918,0.020753214492813442
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__tvn_efaar_e0.1,0.4227708401900762,0.0532532740837096,0.02251393142724232
