family,n_recipes,d2e8_product_median,mq_product_median,marginal_median_difference,paired_nap_product_mean_delta,paired_nap_product_median_delta,paired_nap_product_mq_greater_fraction,paired_nap_product_ties,paired_PA_mean_nap_mean_delta,paired_PA_mean_nap_median_delta,paired_PA_mean_nap_mq_greater_fraction,paired_PA_mean_nap_ties,paired_PC_mean_nap_mean_delta,paired_PC_mean_nap_median_delta,paired_PC_mean_nap_mq_greater_fraction,paired_PC_mean_nap_ties
cp_measure,48,0.029108521774133034,0.028909297350950422,-0.0001992244231826118,8.924984927389912e-05,0.0009642561742120824,0.5416666666666666,0,0.009833961508048383,0.012306041189607764,0.7916666666666666,0,-0.002173503395739052,-0.0007989671552608019,0.4791666666666667,0
DINOv2,48,0.020095916859430726,0.02003320247572613,-6.271438370459778e-05,0.001231763389153727,0.0005820439382356029,0.5416666666666666,0,-0.002462003613613264,-0.002552558971509855,0.375,0,0.003266951519360871,0.002140529783599448,0.625,0
MorphEM,48,0.04142388723920102,0.034418625040453336,-0.007005262198747683,-0.007493660669250341,-0.006466194089451821,0.0,0,-0.003978604688832152,-0.0015678318823509618,0.3333333333333333,0,-0.01616351109101321,-0.015569542704172303,0.0,0
OpenPhenom,48,0.013521864529744243,0.011668632462716882,-0.0018532320670273609,-0.0009312989400385472,-0.0008127933649202295,0.3333333333333333,0,0.0004518259930507372,0.0003138114624034183,0.5416666666666666,0,-0.002572654660834592,-0.002349103028401349,0.375,0
SubCell,48,0.021497724932923852,0.02273334157734489,0.0012356166444210392,0.0004906866501616427,0.0015043279875277035,0.5833333333333334,0,-0.005144135974679336,-0.003951351853604762,0.16666666666666666,0,0.0019527415899209144,0.0035730357821456976,0.5416666666666666,0
