cluster_id,n_compounds,n_selected,n_nonselected,selected_fraction,jeffreys_probability,jeffreys_working_low,jeffreys_working_high,overall_selected_fraction,selection_lift,log2_selection_lift,conditional_expected_selected,conditional_lift,conditional_standardized_residual,conditional_permutation_p,conditional_bh_q,cluster_distance_median,cluster_distance_p90,n_wells_median,n_sources_median,n_plates_median
0,133,68,65,0.5112781954887218,0.5111940298507462,0.4268481673126069,0.5952232777501034,0.03311412794566241,15.439881017784545,3.948589729895325,38.81057888010602,1.7520996069155834,5.849341703684747,0.0004997501249375312,0.0011845928887408148,25.050569534301758,34.56544570922851,8.0,1.0,8.0
1,1103,151,952,0.13689936536718042,0.13722826086956522,0.11757372003400335,0.15812743361897258,0.03311412794566241,4.13416791744663,2.047596987879872,110.81612803373385,1.3626175420425597,4.862805593352302,0.0004997501249375312,0.0011845928887408148,6.0199737548828125,9.184980392456056,4.0,3.0,4.0
2,81,49,32,0.6049382716049383,0.6036585365853658,0.49633001137626503,0.7061957356385822,0.03311412794566241,18.268283332044643,4.1912691653767595,14.327669896352557,3.4199559561652166,10.85229875231804,0.0004997501249375312,0.0011845928887408148,18.871726989746094,29.39883041381836,8.0,4.0,8.0
3,108,35,73,0.32407407407407407,0.3256880733944954,0.24135289901350193,0.41608250841746364,0.03311412794566241,9.786580356452486,3.2908048389276736,9.864480825875923,3.5480833322915557,9.639494259196002,0.0004997501249375312,0.0011845928887408148,25.66094398498535,34.23736114501953,4.5,3.0,4.5
4,1105,36,1069,0.03257918552036199,0.03300180831826401,0.023301538175993966,0.04429899139225243,0.03311412794566241,0.983845492589199,-0.02349632869030592,24.01081743529601,1.4993242148882377,2.775661571735493,0.005997001499250375,0.011124872346435477,5.525500297546387,7.651388931274414,4.0,4.0,4.0
5,1233,0,1233,0.0,0.0004051863857374392,3.9816294404148963e-07,0.002034775161951829,0.03311412794566241,0.0,-39.86313713864835,12.845550528643985,0.0,-3.8250328112769783,0.0004997501249375312,0.0011845928887408148,5.509573936462402,7.580805683135987,4.0,4.0,4.0
6,1758,96,1662,0.05460750853242321,0.05486071631608869,0.04471091830238736,0.06596870459761328,0.03311412794566241,1.6490698055533786,0.7216524697239277,70.7983403893889,1.3559639883082382,3.5680174702577516,0.0004997501249375312,0.0011845928887408148,4.662428855895996,6.380211400985718,5.0,4.0,5.0
7,1286,14,1272,0.01088646967340591,0.011266511266511266,0.006252484489545759,0.017712235816511906,0.03311412794566241,0.3287560430783417,-1.6049106811241676,32.78990753345481,0.4269606428659829,-3.7167398043243476,0.0004997501249375312,0.0011845928887408148,4.7063775062561035,6.394842863082886,4.0,4.0,4.0
8,1666,14,1652,0.008403361344537815,0.008698260347930415,0.004823990351466185,0.013683622154351151,0.03311412794566241,0.2537696707075315,-1.9784084391617678,48.80680179941079,0.28684526508288877,-5.457349434233732,0.0004997501249375312,0.0011845928887408148,4.340456008911133,5.841013431549072,5.0,3.0,5.0
9,1514,22,1492,0.01453104359313078,0.01485148514851485,0.009390711937086812,0.021521762018156396,0.03311412794566241,0.43881703957220436,-1.1883085472022588,36.44785354159637,0.6036020742591149,-2.6830046227014583,0.00849575212393803,0.014695355025190107,4.918335914611816,6.524374866485596,4.0,3.0,4.0
10,604,8,596,0.013245033112582781,0.014049586776859505,0.006281126666436447,0.024835624704454863,0.03311412794566241,0.39998133528736746,-1.3219954151789035,5.204208126787865,1.537217537250523,1.3155577699397707,0.23288355822088955,0.2812178816252251,6.150225639343262,8.495615482330322,4.0,4.0,4.0
11,419,9,410,0.021479713603818614,0.02261904761904762,0.010680099916265838,0.038833060699606584,0.03311412794566241,0.6486570819278429,-0.6244721081108638,3.162402989700534,2.845937102042855,3.471030698783372,0.0029985007496251873,0.005997001499250375,7.4779486656188965,11.553256797790526,4.0,4.0,4.0
