subset,wells,controls,treatment_wells,treatment_ids,groups
morphem_same_acquisition_wells_excluded,109790,12048,97742,19848,group_crispr|group_high|group_low|group_orf
morphem_same_acquisition_plates_excluded,74137,5924,68213,14310,group_high|group_low|group_orf
