family,display_family,codec,replicates,seed,pa_point,pa_ci_low,pa_ci_high,pc_point,pc_ci_low,pc_ci_high,product_point,product_ci_low,product_ci_high
cp_measure,cp_measure,Zstd,50000,20260818,0.46692039583441847,0.4333126216107074,0.5006375312069091,0.08540399068330914,0.05683813188047328,0.11659591996565798,0.03987686513568969,0.0263336885693812,0.054870981866318065
cp_measure,cp_measure,D2-E8,50000,20260818,0.4255672988736476,0.3910579863447165,0.46083552774187503,0.08681172004676853,0.059030383993687305,0.11683428009750807,0.03694422921087857,0.024862634277009577,0.050215681117208595
cp_measure,cp_measure,MQ,50000,20260818,0.45921571197196565,0.4257198180705911,0.4935036107668468,0.083215416340251,0.05484221446512047,0.11394230369924827,0.038213826661731905,0.025012085514907658,0.052789157476392796
dinov2,DINOv2,Zstd,50000,20260818,0.4911714260561173,0.4540652402161071,0.5285286340605183,0.059687685511970553,0.041802818572156626,0.07895200681775975,0.029316885610903627,0.020352716650362087,0.0391387832618798
dinov2,DINOv2,D2-E8,50000,20260818,0.4619511611136225,0.42359916793910835,0.5003821153105235,0.048088479720931526,0.032043528507615514,0.06543866565549636,0.022214529043273208,0.014675322942858553,0.030519577970959083
dinov2,DINOv2,MQ,50000,20260818,0.45725949149766343,0.42046583033251794,0.4941627731886609,0.05261759418529938,0.03466730138007491,0.07235457189784282,0.024059894361000405,0.01570578677004202,0.0333790332678835
morphem,MorphEM,Zstd,50000,20260818,0.4810254806956372,0.4394308223718992,0.52219941495794,0.08996936857790164,0.06663558542678617,0.11507320010126615,0.043277558768068096,0.031683162515015864,0.05614874743164599
morphem,MorphEM,D2-E8,50000,20260818,0.5115911715738608,0.4703273148010534,0.5526592091609407,0.09685490258602332,0.077513511194898,0.11763120924423535,0.04955011308665583,0.03903492950448034,0.06104782311440327
morphem,MorphEM,MQ,50000,20260818,0.5033117265361814,0.46251319889837433,0.5443919571100686,0.08065859970610759,0.0599801122822221,0.10292226895191924,0.040596419078071745,0.02989909452150957,0.052484957272670926
openphenom,OpenPhenom,Zstd,50000,20260818,0.3751573581116567,0.3391544592871018,0.4116701096094232,0.052554538831771185,0.03713910826342378,0.06905881240479828,0.019716221944903748,0.01370474375287071,0.026306814559790323
openphenom,OpenPhenom,D2-E8,50000,20260818,0.4219044426401833,0.38511996392273656,0.4592375514371326,0.046685776631867584,0.031733435410702164,0.0625411525419881,0.019696936569092185,0.013234215242938026,0.026721170884127707
openphenom,OpenPhenom,MQ,50000,20260818,0.4279306408592858,0.3915369022409566,0.46459410382583993,0.03807863411689247,0.026670548101481662,0.05019021383467653,0.016295014300688058,0.011293786685682683,0.021765713698162575
subcell,SubCell,Zstd,50000,20260818,0.45637910975818663,0.41868216788672447,0.49442931812926255,0.07445700510806662,0.054740646242616584,0.09521581148704324,0.033980621706480196,0.024678543569949647,0.04403671933886171
subcell,SubCell,D2-E8,50000,20260818,0.46383431295829547,0.4261727509524625,0.5019617814361685,0.06228745289683372,0.04242825675730877,0.08356779966465355,0.028891057920325057,0.019489942283894984,0.039224037602172385
subcell,SubCell,MQ,50000,20260818,0.4505317221572089,0.4125435295124481,0.4890330730369227,0.058810228299731544,0.03885940379095563,0.08021927900718594,0.026495873436336675,0.017324411174823688,0.0365333806837122
