compartment,metric,n_common_sites,hq_mean,e3_mean,e3_minus_hq_mean,e3_minus_hq_median,fraction_e3_gt_hq
cell,inst_f1_50,9216,0.9823968262229646,0.9787588166057632,-0.0036380096172013024,0.0,0.24327256944444445
cell,iou,9216,0.953476784114497,0.9480911999701848,-0.005385584144312346,-0.00346952042139681,0.2715928819444444
nuclei,inst_f1_50,9216,0.971009469634692,0.9599286368476461,-0.011080832787045906,0.0,0.2328559027777778
nuclei,iou,9216,0.9623864437929588,0.9543018189251706,-0.008084624867788196,-0.00021174895082354261,0.4339192708333333
