family,display_family,hq_product,e3_product,product_delta_e3_minus_hq,product_delta_ci_low,product_delta_ci_high,product_centered_bootstrap_p,pa_hq,pa_e3,pa_delta_e3_minus_hq,pa_delta_ci_low,pa_delta_ci_high,pc_hq,pc_e3,pc_delta_e3_minus_hq,pc_delta_ci_low,pc_delta_ci_high,product_holm_p,supported_direction
cp_measure,cp_measure,0.03761813566203701,0.035337025976193426,-0.0022811096858435867,-0.006581071351989596,0.0019683701130737918,0.2882742345153097,0.46497309874532833,0.45605594420200524,-0.008917154543323091,-0.032721339216079476,0.0147467337509054,0.08090389694273678,0.07748397192371921,-0.0034199250190175695,-0.011853918663730334,0.00492814849153704,0.2882742345153097,unresolved
dinov2,DINOv2,0.0200395654222186,0.023539489735433766,0.003499924313215167,0.0003246340979093158,0.006587818289536808,0.026999460010799784,0.45450040325405106,0.47951455402259485,0.025014150768543797,0.0011510917668514397,0.04906756295272586,0.04409141395418549,0.049090250833814277,0.004998836879628786,-0.0014269100070116035,0.011087851553079247,0.08099838003239936,unresolved
morphem,MorphEM,0.04110070104968045,0.04613126355371112,0.005030562504030667,0.001427983335702395,0.008951039123666252,0.005159896802063958,0.5085070881996799,0.5212069787881805,0.012699890588500518,-0.0013444376060910699,0.026935962353432336,0.08082621069293941,0.08850853006797316,0.007682319375033747,0.0011871818681475088,0.014783048961815697,0.020639587208255834,E3>HQ
openphenom,OpenPhenom,0.015865869404456667,0.020571537248852752,0.0047056678443960845,0.00016483661550449678,0.009394846654830827,0.04359912801743965,0.4096343082281532,0.42707504480825126,0.017440736580098037,-0.005804402883079602,0.04112516200880334,0.038731788538619874,0.04816843666922517,0.009436648130605296,-0.001116406363558685,0.020276949500588944,0.0871982560348793,unresolved
subcell,SubCell,0.025803358902927804,0.035313417805272404,0.0095100589023446,0.004361035056916149,0.015108814895471593,0.00011999760004799904,0.44722552718537445,0.4424078257448188,-0.004817701440555655,-0.01618311507318905,0.006540929747471071,0.05769652520803523,0.0798209610009051,0.022124435792869872,0.010689153688357458,0.03441903144639783,0.0005999880002399952,E3>HQ
