method,n_files,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,hausdorff_95_mean,hausdorff_95_std,hausdorff_95_median,asd_mean,asd_std,asd_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median
jpegxl_lossy_hq.zarr,9216,0.9722171890011722,0.08412094614208479,0.9857546652389112,0.953476784114497,0.09385066586856153,0.9719094892082383,11.46880906790857,59.75493703803571,2.8284271247461903,2.539199838825319,17.606826932802644,0.9042608538563324,0.9836189730232024,0.08703028595964667,0.9959386925310394,0.9610394478170581,0.09139927713626673,0.9796291567292921
jpegxl_lossy_mq.zarr,9216,0.9333861281738565,0.112047005519294,0.960334369337682,0.8881290785671769,0.12766348883080608,0.9236954090543252,22.927135664203032,68.78857619399751,8.94427190999916,6.1905812777351255,24.94573325790383,2.4526779352261396,0.9745198893502186,0.10633232479579481,0.991983803259926,0.8999674004794246,0.12231090914086971,0.9405174612781646
jpegxl_lossy_lq.zarr,9216,0.9023256183382373,0.10757628743227236,0.931771283357893,0.8347227445376127,0.13397249815248038,0.8722582241440293,28.797603882800132,69.00511307913473,16.55294535724685,7.452718901334528,21.361240353144193,4.450681011691566,0.9755837261045074,0.09733188476871896,0.9912485829377423,0.8446787539377394,0.1346789628896733,0.8888645591932467
jpegxl_lossy_effort_3.zarr,9216,0.9687358696921371,0.09077666296812349,0.983717001661499,0.9480911999701848,0.10080040017286371,0.9679557793151792,12.670305083214823,61.52389211369562,3.1622776601683795,2.52524736536297,13.485137361489452,1.0562679974547655,0.9833458213292458,0.08759737930012639,0.9953477815247245,0.9554320276817924,0.09969169268124788,0.9759979747159786
