method,n_files,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,hausdorff_95_mean,hausdorff_95_std,hausdorff_95_median,asd_mean,asd_std,asd_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median
jpegxl_lossy_hq.zarr,9216,0.9712406265011722,0.0894303029516695,0.9856965472490409,0.952500221614497,0.09845195104631213,0.9717965019520738,40.056340224618495,72.66367080845109,23.345235059857504,,,,0.9836189730232024,0.08703028595964667,0.9959386925310394,0.9610394478170581,0.09139927713626673,0.9796291567292921
jpegxl_lossy_effort_3.zarr,9216,0.967976321081026,0.09461478844171513,0.9836807055651733,0.9473316513590735,0.10411969872958507,0.9678854971578974,43.916783513525516,76.10109658768775,25.179356624028344,,,,0.9833458213292458,0.08759737930012639,0.9953477815247245,0.9554320276817924,0.09969169268124788,0.9759979747159785
jpegxl_lossy_mq.zarr,9216,0.9333861281738562,0.112047005519294,0.960334369337682,0.8881290785671769,0.12766348883080608,0.9236954090543252,56.85613728706665,82.80408162618131,34.48187929913333,,,,0.9745198893502186,0.10633232479579481,0.991983803259926,0.8999674004794246,0.1223109091408697,0.9405174612781646
jpegxl_lossy_lq.zarr,9216,0.9014575627826817,0.11077211648309146,0.9314073113011947,0.8338546889820572,0.13612147368024574,0.8716205178395573,66.0968101478528,84.41754599576245,41.677331968349414,,,,0.9755837261045074,0.09733188476871896,0.9912485829377423,0.8446787539377394,0.1346789628896733,0.8888645591932467
