method,n_files,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,hausdorff_95_mean,hausdorff_95_std,hausdorff_95_median,asd_mean,asd_std,asd_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median
jpegxl_lossy_hq.zarr,9216,0.9712406265011722,0.0894303029516695,0.9856965472490409,0.952500221614497,0.09845195104631212,0.9717965019520738,40.0563402246185,72.66367080845109,23.345235059857504,,,,0.9836189730232022,0.08703028595964667,0.9959386925310394,0.9610394478170581,0.09139927713626673,0.9796291567292921
jpegxl_lossy_effort_3.zarr,9214,0.9679740320894173,0.09462489943107466,0.9836807055651733,0.9473293364030299,0.10413077885400586,0.9678854971578974,43.92227307867602,76.10818233991968,25.179356624028344,,,,0.9833437230876172,0.08760675469832094,0.9953477815247245,0.9554300387447602,0.0997022243803905,0.9759979747159785
jpegxl_lossy_mq.zarr,4680,0.9300737024593331,0.11879011049469321,0.9580922662119123,0.8837266763418876,0.13371187956362912,0.9195557691446477,55.48263991022574,80.19182791661935,34.438350715445125,,,,0.9733175170066152,0.11376264781746828,0.9923586303141536,0.8950858113718951,0.12784659138953428,0.9353271494947941
jpegxl_lossy_lq.zarr,4212,0.8974651647992348,0.11536875257168627,0.9263643044389489,0.828191807106428,0.14040911981552964,0.8628292712483769,64.53831095274174,86.15202328184199,41.19465984809196,,,,0.9755822768167024,0.10260298567418336,0.9917772774136078,0.8381916499339035,0.13849611601402287,0.879432635918592
