method,n_files,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,hausdorff_95_mean,hausdorff_95_std,hausdorff_95_median,asd_mean,asd_std,asd_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median
jpegxl_lossy_hq.zarr,9216,0.9740281744454214,0.11314783497050843,0.9929883549025547,0.9623864437929589,0.11946117837846738,0.9860743515101587,10.872833822402205,72.14915271684076,1.0,4.111502271560633,40.29568478401154,0.10782115242933869,0.9703977243613962,0.13015111328346543,0.9969823714713868,0.9716286959412904,0.12607882156989655,0.991131643188977
jpegxl_lossy_mq.zarr,9216,0.9542978785998911,0.13325071048852094,0.9782956777101466,0.9301628575290781,0.13946924134060357,0.9575134961919942,15.374769479657223,88.36052026559358,1.0,6.2568606764539405,51.516547876077134,0.34528031213198845,0.966555834453353,0.1451573515914839,0.9957592042230712,0.9396603495198524,0.1356356029514157,0.9630513167057468
jpegxl_lossy_lq.zarr,9216,0.9445205825153334,0.11848441811250855,0.9598186532369455,0.9088096808625927,0.12604299269043853,0.9227416509946385,10.941737902055651,69.50145344072864,1.0,2.9084463011280994,32.14824657072044,0.6271892765451645,0.9665896001854206,0.14188344360389676,0.9944665220583591,0.9152848541623657,0.13326427172355154,0.9290134782003632
jpegxl_lossy_effort_3.zarr,9216,0.9671373119563366,0.13213225887358834,0.9934088821237943,0.9543018189251709,0.14194693938376962,0.9869040809940011,16.116904700716866,87.82369263294561,1.0,5.961620337600974,45.56436775599299,0.10747948253078354,0.9635666849496474,0.14713551591243773,0.995837235582411,0.9670224806785043,0.14194956230953476,0.9922846706755737
