method,file,source_id,dice,iou,hausdorff_95,asd,precision,recall
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__4,0.9949491650134265,0.9899490954870139,1.0,0.08561999757537432,0.9984335536939151,0.9914890117797011
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__1,0.9941203509177611,0.988309438236267,1.0,0.09432999052654335,0.9989911699028576,0.9892967991423969
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__3,0.9944409753422988,0.9889434145159336,1.0,0.09623511969992438,0.9988221076624191,0.9900981090876007
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__2,0.9940114087400522,0.9880941169472959,1.0,0.09594947065129168,0.9989927235552348,0.9890795244805207
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__5,0.9942541623685011,0.9885739768110198,1.0,0.09495784926131673,0.9989385458077567,0.9896135074005
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__6,0.9939591950834924,0.9879909345883661,1.0,0.10336813078589718,0.9993939340705672,0.9885832449997394
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__1,0.9919311487279628,0.98399146792036,1.0,0.24173200775115483,0.9936971788418635,0.9901713847670153
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__2,0.9937894158212983,0.9876554982101068,1.0,0.12919985510145238,0.9970039826575917,0.9905955113491456
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__4,0.9952251398863285,0.9904956616587098,1.0,0.08485378528831261,0.9985853618102948,0.9918874562949058
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__3,0.9947854977724562,0.989625095507499,1.0,0.09116328023945365,0.9992978228172908,0.9903137403137403
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__6,0.9933325579674135,0.9867534366282392,1.0,0.11165814204255238,0.9986776198858757,0.9880444064901793
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__5,0.9949726613050754,0.9899956180267637,1.0,0.08633154904433564,0.998578811369509,0.9913924631732444
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A03__2,0.9946286945474718,0.9893147826610974,1.0,0.09445830551358189,0.9986541152138207,0.9906355952978092
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A03__3,0.9946723410065884,0.9894011490766187,1.0,0.08990230803051488,0.9986929777257813,0.9906839478301078
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A03__1,0.9931980337546188,0.9864879758414706,1.0,0.11117656668345881,0.9978984687250896,0.9885416724188392
