method,file,source_id,dice,iou,hausdorff_95,asd,precision,recall
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__1,0.9921921166248682,0.9845052147260779,1.4142135623730951,0.4157540520397389,0.9963543803511322,0.9880644838853638
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__2,0.9853640652337118,0.9711503717446013,3.1622776601683795,1.0478290068812652,0.9987551736453978,0.9723272964815641
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__3,0.9877680863868222,0.9758317961552591,2.8284271247461903,1.055992817702858,0.9962917361910909,0.9793890454470245
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__4,0.993512106222338,0.9871078553099909,1.4142135623730951,0.6006720769276992,0.9950401473674751,0.9919887509778107
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__5,0.9876313270634216,0.9755648840837783,3.0,0.8554985624853855,0.9975739554455844,0.9778849353700291
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__1,0.9931598220241141,0.9864125843892381,2.0,0.5552370744428916,0.9984663031037501,0.9879094467522709
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A01__6,0.9898553019029225,0.9799143664938533,2.0,0.5781898116022879,0.9963286144981484,0.9834655626930748
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__2,0.9807999407519868,0.9623232768212763,4.0,1.5767799956003727,0.9981687073900606,0.9640252911450282
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__3,0.9860100888661798,0.9724062123691605,2.8284271247461903,1.0840721769492583,0.9982237357588236,0.9740917065252624
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__4,0.9912210623752656,0.9825949228372964,2.0,0.6857765671296288,0.9950461207929758,0.9874252991703987
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__5,0.9912175079596589,0.9825879372220708,2.0,0.506085988344895,0.9973973046139359,0.9851138188344196
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A02__6,0.9869774585812637,0.9742897302156808,2.23606797749979,0.6707447572502537,0.9956515478418991,0.9784532008527966
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A03__1,0.9907812047322849,0.9817308292097957,1.4142135623730951,0.6988128461490555,0.9981891819477361,0.983482372865793
