sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
168,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23910937042028832,-0.015479103830765829,-0.0037011987716446906,370,49,1480,5721,7201
169,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2383393066102496,-0.012800855178976634,-0.0030509469473755132,370,53,1480,5689,7169
170,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.21895651417851622,0.0028083113889736935,0.0006148980724575071,370,57,1480,5497,6977
171,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23989469949373748,0.02979771982909247,0.00714831504399872,370,78,1480,5561,7041
172,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24377588132860206,-0.021228065194146464,-0.0051748903016040765,370,58,1480,5689,7169
173,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2330098957418294,0.006043821701982012,0.0014082702646610345,370,61,1480,5753,7233
174,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24154027334202763,0.11481090950508832,0.02773145846450583,370,81,1480,5497,6977
175,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.25268683906528355,-0.023467300557946193,-0.0059298779993823885,370,81,1480,5433,6913
176,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.242658604183614,0.010324303044425267,0.002505280965928872,370,67,1480,5497,6977
177,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24215995375836244,-0.011352952251277722,-0.00274923039219031,370,74,1480,5657,7137
178,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.25027929836764634,0.001573342438938474,0.00039377504170956274,370,66,1480,5657,7137
179,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.22869633023896885,0.04669996714326632,0.010680111107945428,370,99,1480,5561,7041
180,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23145368133577196,-0.013908284486813078,-0.0032191236455380947,370,79,1480,5753,7233
181,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23695723097815238,0.021531803318784012,0.005102116492385251,370,73,1480,5593,7073
182,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.21597999924595726,0.06346008701189833,0.013706109544978183,370,82,1480,5657,7137
183,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24965000942041993,0.06791611081395682,0.016955257704502603,370,126,1480,5593,7073
184,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.26339272432334204,0.05024968791668575,0.013235402196773582,370,69,1480,5721,7201
185,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.22478287582291878,0.038459519325266346,0.00864504135670049,370,80,1480,5817,7297
186,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24348730243789882,-0.025149244223750433,-0.006123521634392902,370,62,1480,5721,7201
187,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24421246225130547,0.008914218804500846,0.00217696332329404,370,77,1480,5721,7201
188,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24224592156606362,0.12783589654985128,0.030967724568942697,370,50,1480,5657,7137
189,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2130007667288784,0.007687419143495693,0.0016374261717308403,370,49,1480,5753,7233
190,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24315009328105316,-0.01481621729016814,-0.0036025646161767363,370,78,1480,5721,7201
191,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.25261764026471745,-0.00941108997095824,-0.002377407340782419,370,90,1480,5465,6945
