Metadata_JCP2022	Metadata_repurposing_name	Metadata_repurposing_moa	Metadata_repurposing_target
JCP2022_002547	cytisine	acetylcholine receptor agonist	CHRNA2|CHRNA3|CHRNA4|CHRNA6|CHRNA7|CHRNB2|CHRNB4
JCP2022_002559	iguratimod	cyclooxygenase inhibitor|NFkB pathway inhibitor	PTGS2
JCP2022_002564	talniflumate	cyclooxygenase inhibitor	CLCA1
JCP2022_002672	bambuterol	adrenergic receptor agonist	ADRB2|BCHE
JCP2022_002684	carmofur	thymidylate synthase inhibitor	TYMS
JCP2022_002910	WZ-3146	EGFR inhibitor	EGFR
JCP2022_002918	IBMX	phosphodiesterase inhibitor	ADORA1|PDE2A|PDE3B|PDE4D|PDE5A|PDE6G|PDE7A|PDE8A|PDE9A
JCP2022_003070	metolazone	carbonic anhydrase inhibitor	SLC12A3
JCP2022_003094	AH6809	prostanoid receptor antagonist	PTGDR|PTGER1|PTGER2|PTGER3
JCP2022_003104	CHIR-99021	glycogen synthase kinase inhibitor	CDK1|GSK3A|GSK3B|MAPK1
JCP2022_003111	propranolol	adrenergic receptor antagonist	ADRB1|ADRB2
JCP2022_003111	propranolol-(R)	adrenergic receptor antagonist	ADRB2|ADRB3
JCP2022_003111	propranolol-(S)	adrenergic receptor antagonist	ADRB1|HTR1A|HTR5A|SLC10A1
JCP2022_003124	cimetidine	histamine receptor antagonist	HRH2|SLC29A4|SLC47A1|SLC47A2
JCP2022_003151	esmolol	adrenergic receptor antagonist	ADRB1
JCP2022_003169	bimatoprost	prostanoid receptor agonist	AKR1C3|PTGER1|PTGER3|PTGFR
JCP2022_003259	RU-58841	androgen receptor antagonist	AR
JCP2022_003269	NSC-405020	matrix metalloprotease inhibitor	MMP1
JCP2022_003327	UK-383367	procollagen C-endopeptidase inhibitor	BMP1
JCP2022_003429	ELN-441958	bradykinin receptor antagonist	BDKRB1
JCP2022_003432	VU0361737	glutamate receptor positive allosteric modulator	GRM4
JCP2022_003551	aclidinium	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
JCP2022_003558	opicapone	catechol O methyltransferase inhibitor	COMT
JCP2022_003610	decernotinib	JAK inhibitor	JAK3
JCP2022_003617	galantamine	acetylcholinesterase inhibitor	ACHE|BCHE|CHRNA1|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB1|CHRNB2|CHRNB3|CHRNB4|CHRND|CHRNE|CHRNG
JCP2022_003633	8-hydroxy-DPAT	serotonin receptor agonist	HTR5A|HTR7
JCP2022_003662	aprepitant	tachykinin antagonist	TACR1
JCP2022_003677	irsogladine	phosphodiesterase inhibitor	PDE4A
JCP2022_003720	spermidine	glutamate receptor modulator	KCNJ4|TXNRD1
JCP2022_003755	SB-399885	serotonin receptor antagonist	HTR6
JCP2022_003773	BAY-41-2272	guanylyl cyclase activator	GUCY1A3|GUCY1B3
JCP2022_003946	UNC0321	histone lysine methyltransferase inhibitor	EHMT2
JCP2022_003950	PF-4800567	casein kinase inhibitor	CSNK1D|CSNK1E
JCP2022_003991	eltanolone	GABA receptor positive allosteric modulator	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB2|GABRG2
JCP2022_004035	liothyronine	thyroid hormone stimulant	THRA|THRB
JCP2022_004039	disulfiram	aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist	ALDH2|DBH
JCP2022_004044	doripenem	bacterial cell wall synthesis inhibitor	DPEP1
JCP2022_004071	SNX-5422	HSP inhibitor	HSP90AA1|HSP90AB1
JCP2022_004072	LY2140023	glutamate receptor agonist	GRM3
JCP2022_004142	etacrynic-acid	sodium/potassium/chloride transporter inhibitor	ATP1A1|SLC12A1
JCP2022_004163	JW-642	monoacylglycerol lipase inhibitor	MGLL
JCP2022_004212	GSK-J1	histone demethylase inhibitor	KDM6B
JCP2022_004273	spautin-1	deubiquitinase inhibitor	USP10|USP13
JCP2022_004443	SLV-319-(+/-)	cannabinoid receptor antagonist	CNR1|DRD2|HTR1A
JCP2022_004483	FH-535	PPAR receptor antagonist|WNT signaling inhibitor	PPARD|PPARG
JCP2022_004510	enzastaurin	PKC inhibitor	AKT1|GSK3B|PRKCA|PRKCB|PRKCD|PRKCG
JCP2022_004533	uprosertib	AKT inhibitor	AKT1|AKT2|AKT3
JCP2022_004550	MK-571	leukotriene receptor antagonist	ABCC2|CYSLTR1
JCP2022_004587	PF-03758309	p21 activated kinase inhibitor	PAK4
JCP2022_004598	indobufen	cyclooxygenase inhibitor|platelet aggregation inhibitor	PTGS1|PTGS2
JCP2022_004643	GSK1292263	glucose dependent insulinotropic receptor agonist	GRPR
JCP2022_004667	butein	EGFR inhibitor|SRC inhibitor	ACE
JCP2022_004697	CINPA-1	CAR antagonist	NR1H4|NR1I3|PPARG
JCP2022_004754	BMY-7378	adrenergic receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|HTR1A
JCP2022_004762	MK-3207	calcitonin antagonist	CALCA
JCP2022_004797	PF-02545920	phosphodiesterase inhibitor	PDE10A
JCP2022_004898	ivermectin	benzodiazepine receptor agonist	CHRNA7|P2RX7
JCP2022_004940	4-CMTB	free fatty acid receptor agonist	FFAR2
JCP2022_004959	WAY-200070	estrogen receptor agonist	ERBB2|ERBB3|ERBB4|ESR2
JCP2022_005029	fruquintinib	VEGFR inhibitor	KDR
JCP2022_005056	genz-644282	topoisomerase inhibitor	TOP1
JCP2022_005084	GSK-LSD-1	histone lysine demethylase inhibitor	KDM1A
JCP2022_005089	PF-04457845	FAAH inhibitor	FAAH
JCP2022_005139	telaprevir	HCV inhibitor	CTSA|PGR
JCP2022_005163	LDN-212854	bone morphogenic protein inhibitor	ABL1|ACVR1|RIPK2
JCP2022_005190	LY2979165	glutamate receptor agonist	GRM2
JCP2022_005264	4E1RCat	protein synthesis inhibitor	EIF4E|EIF4G1
JCP2022_005305	PF-5274857	smoothened receptor antagonist	SMO
JCP2022_005362	voriconazole	cytochrome P450 inhibitor	CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1
JCP2022_005373	lapatinib	EGFR inhibitor	EGFR|ERBB2
JCP2022_005389	imipramine	norepinephrine reputake inhibitor|serotonin reuptake inhibitor	ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4
JCP2022_005449	SMER-28	autophagy inducer	SNCA
JCP2022_005458	halothane	glutamate receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK12|KCNK13|KCNK15|KCNK18|KCNK2|KCNK3|KCNK9
JCP2022_005471	CEP-37440	ALK tyrosine kinase receptor inhibitor	ALK
JCP2022_005529	SGX523	hepatocyte growth factor receptor inhibitor	MET
JCP2022_005545	indocyanine-green	contrast agent	SLCO1B1
JCP2022_005603	azelaic-acid	tyrosinase inhibitor	AKR1D1|SRD5A2|TYR
JCP2022_005628	zamifenacin	acetylcholine receptor antagonist	CHRM3
JCP2022_005677	nutlin-3	MDM inhibitor	MDM2|TP53
JCP2022_005810	terlipressin	vasopressin receptor agonist	AVPR1A
JCP2022_005837	SD-208	TGF beta receptor inhibitor	TGFBR1
JCP2022_005854	taselisib	PI3K inhibitor	PIK3CA
JCP2022_005890	SB-297006	CC chemokine receptor antagonist	CCR3
JCP2022_005918	vonoprazan	potassium-competitive acid antagonist	ATP4A
JCP2022_006006	chlorotrianisene	estrogenic hormone	ESR1|ESR2
