family,codec,metric,mean,sd,q025,median,q975,min,max
dinov2,D20,pa,0.17724604092667415,0.016396998566654265,0.1458598994419245,0.17661129246441365,0.21043506404797077,0.1167024124799122,0.2287168732987278
dinov2,D20,pc,0.011540514706834934,0.03551114314413563,-0.04787383834539882,0.008259242893413201,0.0924820146472787,-0.0814322131290576,0.1961859641501875
dinov2,D20,product,0.0020836791349856656,0.006345899468450827,-0.00817012691280679,0.00145304584874895,0.016960810889817268,-0.0142481497603822,0.0373773457858781
dinov2,HQ,pa,0.2394108123973984,0.01842480456488761,0.2031916469246697,0.239582030173833,0.2765796891998849,0.1759485823711716,0.3066087531565138
dinov2,HQ,pc,0.017808860172724785,0.037755992253890695,-0.048041373331110006,0.0149132740061872,0.10200244294354402,-0.1303158061489157,0.2290859190516855
dinov2,HQ,product,0.0043096218172436005,0.009134246686046045,-0.011222653242265734,0.0034932944309656504,0.024363639253146375,-0.0346008975180219,0.0538004223563414
dinov2,MQ,pa,0.22005199473461864,0.01798240552161754,0.18468191420832805,0.220298559446826,0.25654473294522157,0.1599116871150088,0.2830555114580601
dinov2,MQ,pc,0.019222347111882285,0.03748290907745775,-0.04311913877044834,0.01552221686812905,0.10510713626168953,-0.082625238861109,0.1876093599161421
dinov2,MQ,product,0.0042803305576869085,0.0083009385762395,-0.009405546019632198,0.00336805556432815,0.024128668631339917,-0.0185873645250433,0.0412196540875138
dinov2,Raw,pa,0.23875648332159433,0.018726995222366323,0.2024950999924625,0.23914370845676605,0.2763613773707425,0.1747237334638377,0.3038689855074966
dinov2,Raw,pc,0.016620294087288757,0.03719326333103867,-0.042109605655891676,0.0118017747671425,0.09928618690058945,-0.090394306439865,0.245344015708253
dinov2,Raw,product,0.004039811614984716,0.009005902072501414,-0.010153575155982536,0.0027896464785461,0.023624268516124237,-0.0224504018781909,0.0610798737396275
morphem,D20,pa,0.2771259959078295,0.01841411782894987,0.24040400326293934,0.2770968493875185,0.3134428143955896,0.2205248639415248,0.3519400307645695
morphem,D20,pc,0.02463745121176731,0.03842454141572495,-0.03556405753927229,0.01966542873123485,0.1123358508106221,-0.0963481632551142,0.2047796926019356
morphem,D20,product,0.006892966761118759,0.010791597810883359,-0.010072005238722209,0.005412780555909,0.031246633055682104,-0.0278752655158636,0.0585202615594157
morphem,HQ,pa,0.3625215813456936,0.020161879066512636,0.32121191834930485,0.36291020804203195,0.40291043889541045,0.2956605048805315,0.4292091511320235
morphem,HQ,pc,0.034318367624113,0.0413230338957513,-0.03488756504904254,0.029711356649848197,0.13019574748570684,-0.0880420200819504,0.25630496148515
morphem,HQ,product,0.012555134985643791,0.015186512986014172,-0.012781192751604132,0.0106650886946065,0.04777310638886982,-0.0321073759836132,0.0924404997171608
morphem,MQ,pa,0.34427832270830167,0.01966263569114167,0.30507809019398663,0.34479128684137816,0.38335164879858386,0.2798144721887887,0.4095299707504717
morphem,MQ,pc,0.03194483670833272,0.040298703405872494,-0.035376805842450294,0.027583967788148797,0.1216843934083957,-0.0839781931764801,0.2169667036533386
