family,d10_product,d15_product,product_delta_d15_minus_d10,product_delta_ci_low,product_delta_ci_high,product_centered_bootstrap_p,pa_d10,pa_d15,pa_delta_d15_minus_d10,pa_delta_ci_low,pa_delta_ci_high,pc_d10,pc_d15,pc_delta_d15_minus_d10,pc_delta_ci_low,pc_delta_ci_high,product_holm_p,product_supported_direction
dinov2,0.021091848542678895,0.018778140052459598,-0.002313708490219297,-0.0057581244527441814,0.001148180023453149,0.1891162176756465,0.43450759247260323,0.4236584617985665,-0.010849130674036755,-0.03584456827424927,0.014434601350862178,0.04854195624673414,0.044323769606159524,-0.004218186640574613,-0.011512235450702825,0.003446499757381797,0.5673486530269395,unresolved
morphem,0.03171522973620763,0.031910674350114236,0.00019544461390660905,-0.0034279450323672204,0.0039001842025704176,0.9162216755664887,0.47660133742879657,0.48256856002702503,0.005967222598228461,-0.01288221161004372,0.025162010152795553,0.0665445672211229,0.06612671647802161,-0.0004178507431012862,-0.007451185037807667,0.006778638815413515,1.0,unresolved
openphenom,0.01475822472223876,0.013733930936639304,-0.001024293785599456,-0.004120047663154827,0.0020866769314555732,0.512869742605148,0.4199956853073956,0.412813012387583,-0.007182672919812616,-0.03118439828147375,0.016671162580959405,0.03513899127662987,0.0332691328144103,-0.0018698584622195702,-0.00899144285221698,0.005312021962260276,1.0,unresolved
subcell,0.021089600533769497,0.02987897797011485,0.008789377436345353,0.004853221909027234,0.013123493424073197,0.0001999960000799984,0.44911185373524,0.4635507458858658,0.014438892150625826,-0.004428255813302665,0.033253142684676364,0.0469584589192389,0.0644567573999149,0.017498298480675994,0.009354392112655392,0.026311376543159855,0.0007999840003199936,D15>D10
