family,display_family,margin,unit_id,d2_value,mq_value,unit_delta_mq_minus_d2,symmetric_product_contribution,absolute_contribution,leave_one_unit_influence,absolute_rank,direction
cp_measure,cp_measure,PC,AVPR1A,-0.021073491964152247,0.32198114226310626,0.3430546342272585,0.0007555050304555029,0.0007555050304555029,0.0007781631290445651,1,positive
cp_measure,cp_measure,PC,BRAF,-0.009462767467995674,0.22833498273624553,0.2377977502042412,0.0005236990805123193,0.0005236990805123193,0.0005381871771754018,4,positive
cp_measure,cp_measure,PC,ALDH2,-0.02093592403677022,0.18040959447612484,0.20134551851289506,0.0004434207759321294,0.0004434207759321294,0.0004524311193153316,7,positive
cp_measure,cp_measure,PC,AKR1B1,0.014232357294419453,0.20583411059907078,0.19160175330465132,0.0004219622008366861,0.0004219622008366861,0.00043604367719020376,8,positive
cp_measure,cp_measure,PC,CACNA1A,0.006334897208942429,0.15529357006752506,0.14895867285858264,0.0003280498656668274,0.0003280498656668274,0.00033666750931746897,11,positive
cp_measure,cp_measure,PC,CACNG1,0.009752790235079498,0.137770603224638,0.1280178129895585,0.0002819320657754234,0.0002819320657754234,0.0002891136623213858,13,positive
cp_measure,cp_measure,PA,BRD-K06426971-001-04-9,-0.005768702421866768,1.0,1.0057687024218667,0.0002796139061910962,0.0002796139061910962,0.0002703741593897968,14,positive
cp_measure,cp_measure,PC,CYP3A5,-0.0074274030924035145,0.1028846868854808,0.11031208997788432,0.00024293896826690795,0.00024293896826690795,0.00024547588748966703,15,positive
cp_measure,cp_measure,PA,BRD-K59325863-001-04-4,0.23570529631898185,1.0,0.7642947036810182,0.00021248168397248153,0.00021248168397248153,0.00020164375552991082,20,positive
cp_measure,cp_measure,PA,BRD-K03109492-001-08-9,-0.06921229582258168,0.5852937952218049,0.6545060910443866,0.00018195933548350126,0.00018195933548350126,0.00017512817874796444,23,positive
cp_measure,cp_measure,PC,RPL3,0.4972200409204897,0.2375959696933111,-0.2596240712271786,-0.0005717669206868441,0.0005717669206868441,-0.0005186621891189527,2,negative
cp_measure,cp_measure,PC,HSP90AA1,0.9136153305436557,0.6659792781021356,-0.2476360524415201,-0.0005453658533520119,0.0005453658533520119,-0.000419932031813286,3,negative
cp_measure,cp_measure,PC,CFTR,0.21571540952438098,0.003937762656791595,-0.21177764686758938,-0.0004663953247764627,0.0004663953247764627,-0.0004567909574305917,5,negative
cp_measure,cp_measure,PC,NR3C2,0.24797467800306955,0.045973819823320425,-0.2020008581797491,-0.0004448640224752945,0.0004448640224752945,-0.0004288025173147386,6,negative
cp_measure,cp_measure,PC,CDK5,0.39587624568047797,0.21151541075001273,-0.18436083493046523,-0.0004060156147509512,0.0004060156147509512,-0.00036297215973998126,9,negative
cp_measure,cp_measure,PC,GRIA1,0.13958642777548677,-0.015132966338815867,-0.15471939411430263,-0.00034073663171956415,0.00034073663171956415,-0.0003386399980163171,10,negative
cp_measure,cp_measure,PC,CDK1,0.29867653300228997,0.16172064923065987,-0.1369558837716301,-0.00030161626987787856,0.00030161626987787856,-0.00027061336709811173,12,negative
cp_measure,cp_measure,PC,CACNA1F,0.09140673848787247,-0.01763703017669517,-0.10904376866456764,-0.00024014575973147127,0.00024014575973147127,-0.00024187774354107738,16,negative
cp_measure,cp_measure,PC,CA4,0.0818829551319698,-0.02496348044477528,-0.10684643557674509,-0.00023530659991316514,0.00023530659991316514,-0.00023845445487837708,17,negative
cp_measure,cp_measure,PA,BRD-K11558771-001-16-9,0.9768616277003572,0.1415759442996995,-0.8352856834006577,-0.00023221789677761533,0.00023221789677761533,-0.00024384461755633247,18,negative
dinov2,DINOv2,PC,NOS2,0.02105675684501319,0.3419331578810647,0.32087640103605153,0.0007337139452833574,0.0007337139452833574,0.00072389811653659,1,positive
dinov2,DINOv2,PC,NR3C1,0.50923171846504,0.7901259807952915,0.2808942623302515,0.0006422910402770055,0.0006422910402770055,0.0006210352762950448,2,positive
dinov2,DINOv2,PC,FLT1,0.09321419895481427,0.2643823374900104,0.17116813853519613,0.0003913919809183996,0.0003913919809183996,0.0003799278022223289,5,positive
dinov2,DINOv2,PC,FLT4,0.09321419895481427,0.2643823374900104,0.17116813853519613,0.0003913919809183996,0.0003913919809183996,0.0003799278022223289,6,positive
dinov2,DINOv2,PC,NR3C2,0.021521330194558277,0.15462001053346167,0.13309868033890337,0.00030434259904483656,0.00030434259904483656,0.0002945714930104072,10,positive
dinov2,DINOv2,PC,KCNQ1,-0.0016281431143639093,0.09957213057041983,0.10120027368478374,0.0002314039045229622,0.0002314039045229622,0.00022218529538190618,13,positive
dinov2,DINOv2,PC,TUBA1A,0.27197763067058717,0.3603512686096531,0.08837363793906594,0.0002020746005064734,0.0002020746005064734,0.00018644145121025565,19,positive
dinov2,DINOv2,PC,TUBA1B,0.27197763067058717,0.3603512686096531,0.08837363793906594,0.0002020746005064734,0.0002020746005064734,0.00018644145121025565,20,positive
dinov2,DINOv2,PC,TUBA1C,0.27197763067058717,0.3603512686096531,0.08837363793906594,0.0002020746005064734,0.0002020746005064734,0.00018644145121025565,21,positive
dinov2,DINOv2,PC,TUBA3C,0.27197763067058717,0.3603512686096531,0.08837363793906594,0.0002020746005064734,0.0002020746005064734,0.00018644145121025565,22,positive
