family,display_family,margin,unit_id,d2_value,mq_value,unit_delta_mq_minus_d2,symmetric_product_contribution,absolute_contribution,leave_one_unit_influence,absolute_rank
cp_measure,cp_measure,PA,BRD-A00827783-001-24-6,0.3512794146006593,0.4503518772249883,0.099072462624329,2.7524521429452096e-05,2.7524521429452096e-05,1.8785724923656155e-05,312
cp_measure,cp_measure,PA,BRD-A01078468-001-14-8,0.4145303602204184,0.3323580052033153,-0.08217235501710307,-2.2829297734862045e-05,2.2829297734862045e-05,-3.141044743607685e-05,343
cp_measure,cp_measure,PA,BRD-A07207424-001-15-9,0.2461744626049865,0.4045556131341576,0.15838115052917112,4.400178673554975e-05,4.400178673554975e-05,3.6206664218836615e-05,245
cp_measure,cp_measure,PA,BRD-A08187463-001-12-9,0.1152822664104385,0.0854619349208486,-0.029820331489589902,-8.284747662233064e-06,8.284747662233064e-06,-1.3598373786782858e-05,423
cp_measure,cp_measure,PA,BRD-A09722536-002-18-0,0.070928327438422,0.1157121831867924,0.04478385574837039,1.2441945668733301e-05,1.2441945668733301e-05,7.279425350448232e-06,400
cp_measure,cp_measure,PA,BRD-A10188456-001-04-9,1.0,0.9460104646341668,-0.053989535365833174,-1.4999487080258712e-05,1.4999487080258712e-05,-3.062448535302853e-05,384
cp_measure,cp_measure,PA,BRD-A10739734-003-09-8,0.0631172354411779,0.3450439941514188,0.28192675871024087,7.83254893045367e-05,7.83254893045367e-05,7.207298751835123e-05,131
cp_measure,cp_measure,PA,BRD-A15397381-001-02-5,-0.0713257729640224,0.1058189488577794,0.1771447218218018,4.9214721858555766e-05,4.9214721858555766e-05,4.506976477997027e-05,216
cp_measure,cp_measure,PA,BRD-A18763547-300-05-5,0.7573370453938474,0.8245515073177727,0.06721446192392533,1.8673664190717944e-05,1.8673664190717944e-05,5.305779498296359e-06,365
cp_measure,cp_measure,PA,BRD-A18992208-003-02-7,1.0,1.0,0.0,0.0,0.0,-1.589411924323575e-05,495
cp_measure,cp_measure,PA,BRD-A20697603-001-07-2,0.6083250795589267,0.4422535504763564,-0.16607152908257028,-4.613834399562591e-05,4.613834399562591e-05,-5.6586347003034776e-05,234
cp_measure,cp_measure,PA,BRD-A22032524-074-09-9,0.2926638840770451,0.1575685596384962,-0.13509532443854888,-3.7532469205166344e-05,3.7532469205166344e-05,-4.441286735250988e-05,276
cp_measure,cp_measure,PA,BRD-A22713669-001-03-5,0.770694008393745,0.566793891480423,-0.203900116913322,-5.6647962398285334e-05,5.6647962398285334e-05,-6.882191968005102e-05,188
