family,display_family,omitted_plate,omitted_source,omitted_label,d2_product,mq_product,product_delta_mq_minus_d2,d2_pa,d2_pc,mq_pa,mq_pc,n_pa,n_pc
cp_measure,cp_measure,,,Full,0.036944229210878574,0.038311392335318856,0.001367163124440282,0.4255672988736476,0.08681172004676854,0.45975239058991385,0.08333049075864737,,
cp_measure,cp_measure,110000293081,source_6,source_6 / 110000293081,0.027080971014308817,0.0282690836207333,0.0011881126064244817,0.3731685813248153,0.07257034050982138,0.4201066672952876,0.0672902522655355,306.0,201.0
cp_measure,cp_measure,ACPJUM012,source_5,source_5 / ACPJUM012,0.0286920608884071,0.02945079207680929,0.0007587311884021918,0.44782016294762106,0.06407049807572654,0.45513285340288856,0.06470812172009725,306.0,201.0
cp_measure,cp_measure,BR00121438,source_4,source_4 / BR00121438,0.04438260127941717,0.0378252444683157,-0.006557356811101471,0.47240099323105555,0.09395111762118849,0.4966849659181728,0.07615540445922675,302.0,201.0
cp_measure,cp_measure,JCPQC016,source_3,source_3 / JCPQC016,0.025524037369794812,0.03068829250943026,0.005164255139635449,0.3822407259977126,0.06677477211035737,0.4322736280170861,0.0709927474646158,302.0,201.0
dinov2,DINOv2,,,Full,0.022214529043273208,0.024059894361000405,0.0018453653177271968,0.4619511611136225,0.048088479720931526,0.45725949149766343,0.05261759418529938,,
dinov2,DINOv2,110000293081,source_6,source_6 / 110000293081,0.020795410731555244,0.027562712793688698,0.006767302062133454,0.4105104378194067,0.05065744696290436,0.41886532600116555,0.06580328110905032,306.0,201.0
dinov2,DINOv2,ACPJUM012,source_5,source_5 / ACPJUM012,0.02262202633440977,0.022157821996401584,-0.0004642043380081867,0.47624864341482864,0.047500453066288785,0.4759654450238489,0.04655342573302004,306.0,201.0
dinov2,DINOv2,BR00121438,source_4,source_4 / BR00121438,0.018148013430223826,0.024025352213735,0.005877338783511172,0.49535594278317,0.03663630909171847,0.5054198749857164,0.04753543222734163,306.0,201.0
dinov2,DINOv2,JCPQC016,source_3,source_3 / JCPQC016,0.017408261613654732,0.019491103971107024,0.0020828423574522914,0.44306570297242553,0.03929047429504636,0.40697152348282706,0.047893041273020395,306.0,201.0
morphem,MorphEM,,,Full,0.04955011308665585,0.04059641907807175,-0.008953694008584097,0.5115911715738608,0.09685490258602336,0.5033117265361814,0.0806585997061076,,
morphem,MorphEM,110000293081,source_6,source_6 / 110000293081,0.050087108452256134,0.04189608525833641,-0.008191023193919726,0.4837564984172859,0.1035378514110445,0.4634449605880524,0.0904014258892267,306.0,201.0
morphem,MorphEM,ACPJUM012,source_5,source_5 / ACPJUM012,0.044856421243059455,0.04175526351019955,-0.003101157732859905,0.5387209344114772,0.0832646707744198,0.5228609460844885,0.07985921270825296,306.0,201.0
morphem,MorphEM,BR00121438,source_4,source_4 / BR00121438,0.03771054517185265,0.034511478612935124,-0.003199066558917524,0.5326420712224645,0.07079903599297618,0.523310621753258,0.065948362556278,306.0,201.0
morphem,MorphEM,JCPQC016,source_3,source_3 / JCPQC016,0.037937551965681514,0.037495615344576606,-0.0004419366211049075,0.4630798015237788,0.08192443686994508,0.4765500820944281,0.07868137422153852,306.0,201.0
openphenom,OpenPhenom,,,Full,0.019696936569092185,0.016295014300688065,-0.00340192226840412,0.42190444264018323,0.046685776631867584,0.4279306408592858,0.03807863411689248,,
openphenom,OpenPhenom,110000293081,source_6,source_6 / 110000293081,0.01893454801649864,0.018327540247936716,-0.0006070077685619256,0.38894186733651387,0.04868220576551201,0.42346034389177784,0.0432804169559278,306.0,201.0
openphenom,OpenPhenom,ACPJUM012,source_5,source_5 / ACPJUM012,0.021205162542727574,0.016581501173716928,-0.004623661369010646,0.444507979220049,0.04770479616571783,0.4425343791934655,0.03746940792246989,306.0,201.0
openphenom,OpenPhenom,BR00121438,source_4,source_4 / BR00121438,0.019534042015582755,0.015429288427778872,-0.004104753587803883,0.4605369890635683,0.04241579390898058,0.4460806709796441,0.034588560840115294,306.0,201.0
openphenom,OpenPhenom,JCPQC016,source_3,source_3 / JCPQC016,0.011495663577072487,0.009969374872453193,-0.0015262887046192941,0.3714935505455337,0.030944449937801738,0.3743499257683967,0.026631165618611764,306.0,201.0
subcell,SubCell,,,Full,0.028891057920325057,0.026495873436336675,-0.002395184483988382,0.46383431295829547,0.06228745289683371,0.4505317221572089,0.058810228299731544,,
subcell,SubCell,110000293081,source_6,source_6 / 110000293081,0.027264431180982575,0.028389605691166876,0.0011251745101843007,0.4222953133898022,0.06456247634416909,0.4246783806492074,0.06684966078981365,306.0,201.0
subcell,SubCell,ACPJUM012,source_5,source_5 / ACPJUM012,0.029242247876186896,0.02108830750022503,-0.008153940375961868,0.5005767078484883,0.0584171165331923,0.4787305396210721,0.04405047465097377,306.0,201.0
subcell,SubCell,BR00121438,source_4,source_4 / BR00121438,0.02317954991001567,0.021536716775496092,-0.0016428331345195793,0.4790261706316797,0.04838890092257253,0.46652959549851386,0.04616366674976507,306.0,201.0
subcell,SubCell,JCPQC016,source_3,source_3 / JCPQC016,0.02445167361398403,0.024760451186214665,0.00030877757223063407,0.4267865800621044,0.057292508144060936,0.4077672652997886,0.060722017908943465,306.0,201.0
