family,display_family,product_delta_mq_minus_d2,pa_delta,pc_delta,pa_absolute_share,top_5_absolute_share,top_10_absolute_share,top_20_absolute_share
cp_measure,cp_measure,0.0012514026626693209,0.03342976625396865,-0.003596303706517534,0.4380936844976174,0.08800177412528805,0.1512396689932522,0.23063131930270453
dinov2,DINOv2,0.0018453653177271934,-0.0046916696159591265,0.0045291144643678505,0.3407566424648188,0.12747166509785238,0.20129504950089427,0.2977569481885138
morphem,MorphEM,-0.008953694008584083,-0.008279445037679412,-0.016196302879915733,0.29917056423821153,0.08654949409688165,0.14641858449862397,0.24372504275176704
openphenom,OpenPhenom,-0.0034019222684041305,0.006026198219102441,-0.008607142514975116,0.27372692608580285,0.08641790332685335,0.16019789422084868,0.28793974709047065
subcell,SubCell,-0.002395184483988382,-0.013302590801086589,-0.0034772245971021742,0.3280237984037644,0.11360540273031558,0.1822359889383795,0.26395035590898097
